transaction_id,date,city,branch,shop_name,product_id,product_category,unit_price,qty,total_revenue,profit_margin
CUS1063,25/06/2021,Austin,Central Park,Delight Caf‚,TEA001,Sandwiches ,4.25,1,4.25,1.4875
CUS1064,07/10/2022,Austin,Central Park,Suburban Sip Spot,SPC001,Sandwiches ,3,2,6,2.1
CUS1065,25/10/2022,Los Angeles,Venice Beach,Coffee House,CLD001,Sandwiches ,3.75,1,3.75,1.3125
CUS1066,20/07/2021,New York,Central Park,TSQ Brew,SKT001,Snacks,2.5,2,5,1.75
CUS1067,30/12/2021,New York,Brooklyn,Sip & Savor,SPC001,Coffee Beverages,3,1,3,1.05
CUS1068,21/07/2023,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Desserts,3,2,6,2.1
CUS1069,21/10/2023,New York,Central Park,C P Coffee ,CLD001,Sandwiches ,3.75,2,7.5,2.625
CUS1070,02/05/2023,New York,Central Park,C P Coffee ,COF001,Sandwiches ,3,2,6,2.1
CUS1071,06/05/2023,Chicago,Madison Street,Park Brew,SKT001,Sandwiches ,3.25,1,3.25,1.1375
CUS1072,28/02/2023,New York,Brooklyn,Beanery,COF001,Coffee Beverages,2.5,1,2.5,0.875
CUS1073,27/10/2021,Chicago,Madison Street,Park Roaste,CLD001,Cold Drinks,3,1,3,1.05
CUS1074,10/07/2022,Austin,Central Park,Suburban Sip Spot,SKT001,Sandwiches ,3.75,2,7.5,2.625
CUS1075,02/01/2023,Los Angeles,Hollywood Hills,Hills Cafe,COF001,Sandwiches ,3.25,1,3.25,1.1375
CUS1076,10/07/2021,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Coffee Beverages,3.1,1,3.1,1.085
CUS1077,03/09/2022,Chicago,Madison Street,Park Brew,SKT001,Specialty Drinks,2.5,1,2.5,0.875
CUS1078,31/12/2022,Chicago,Michigan Avenue,Loop Latte Lounge,TEA001,Sandwiches ,3,2,6,2.1
CUS1079,26/05/2021,New York,Central Park,C P Coffee ,SKT001,Snacks,2,1,2,0.7
CUS1080,07/05/2022,Chicago,Michigan Avenue,Loop Latte Lounge,DES001,Desserts,3,2,6,2.1
CUS1081,14/08/2022,Los Angeles,Hollywood Hills,Hills Cafe,TEA001,Snacks,3.75,2,7.5,2.625
CUS1082,10/12/2023,Los Angeles,Hollywood Hills,Hills Cafe,CLD001,Desserts,3,1,3,1.05
CUS1083,17/09/2021,Chicago,Madison Street,Park Brew,COF001,Coffee Beverages,3.75,1,3.75,1.3125
CUS1084,21/12/2022,Los Angeles,Venice Beach,Beach Cafe,SKT001,Cold Drinks,3,2,6,2.1
CUS1085,29/04/2022,New York,Brooklyn,Sip & Savor,COF001,Specialty Drinks,2.5,1,2.5,0.875
CUS1086,14/04/2021,Los Angeles,Venice Beach,Coffee House,SKT001,Tea Beverages,4.25,2,8.5,2.975
CUS1087,06/04/2023,New York,Brooklyn,Sip & Savor,SND001,Sandwiches ,2.2,2,4.4,1.54
CUS1088,08/04/2023,Chicago,Michigan Avenue,Loop Latte Lounge,SKT001,Desserts,2.5,2,5,1.75
CUS1089,27/07/2022,New York,Brooklyn,Sip & Savor,TEA001,Desserts,2.5,1,2.5,0.875
CUS1090,12/01/2021,New York,Brooklyn,Beanery,COF001,Desserts,2.55,2,5.1,1.785
CUS1091,29/05/2021,New York,Brooklyn,Beanery,SKT001,Sandwiches ,3.5,2,7,2.45
CUS1092,17/07/2023,Los Angeles,Hollywood Hills,Hills Cafe,TEA001,Coffee Beverages,3.5,1,3.5,1.225
CUS1093,14/04/2021,Chicago,Michigan Avenue,Magnificent Mile Cafe,CLD001,Coffee Beverages,3,2,6,2.1
CUS1094,11/02/2022,New York,Central Park,TSQ Brew,TEA001,Specialty Drinks,3.1,1,3.1,1.085
CUS1095,02/01/2022,Austin,Central Park,Delight Caf‚,COF001,Desserts,3.25,1,3.25,1.1375
CUS1096,01/06/2021,Los Angeles,Capitol Hill,Espresso,SPC001,Snacks,3.75,1,3.75,1.3125
CUS1097,27/12/2021,New York,Central Park,C P Coffee ,COF001,Sandwiches ,4.5,1,4.5,1.575
CUS1098,17/04/2023,Austin,Central Park,Delight Caf‚,SND001,Sandwiches ,3.75,2,7.5,2.625
CUS1099,03/12/2022,New York,Brooklyn,Beanery,SPC001,Desserts,3,2,6,2.1
CUS1100,13/01/2022,Chicago,Madison Street,Park Brew,TEA001,Sandwiches ,4.75,2,9.5,3.325
CUS1101,17/11/2021,Los Angeles,Venice Beach,Beach Cafe,SND001,Desserts,3,1,3,1.05
CUS1102,03/03/2023,Austin,Central Park,Suburban Sip Spot,SKT001,Desserts,2.5,2,5,1.75
CUS1103,20/04/2021,New York,Brooklyn,Sip & Savor,COF001,Desserts,3.75,1,3.75,1.3125
CUS1104,12/02/2021,New York,Brooklyn,Beanery,SND001,Specialty Drinks,3.75,1,3.75,1.3125
CUS1105,24/01/2023,Austin,Zilker Park,Lakeside Brew ,COF001,Coffee Beverages,3.5,1,3.5,1.225
CUS1106,28/03/2022,Chicago,Madison Street,Park Brew,TEA001,Cold Drinks,2,1,2,0.7
CUS1107,21/07/2021,Austin,Zilker Park,Lakeside Brew ,TEA001,Specialty Drinks,3.75,1,3.75,1.3125
CUS1108,19/01/2021,Los Angeles,Hollywood Hills,Hills Cafe,CLD001,Tea Beverages,3.5,1,3.5,1.225
CUS1109,30/06/2023,Chicago,Michigan Avenue,Magnificent Mile Cafe,CLD001,Sandwiches ,3,2,6,2.1
CUS1110,06/05/2023,Seattle,Capitol Hill,Brew Cafe,SND001,Snacks,3.5,1,3.5,1.225
CUS1111,11/09/2022,Seattle,Capitol Hill,Brew Cafe,COF001,Cold Drinks,4.25,2,8.5,2.975
CUS1112,16/10/2022,Seattle,Capitol Hill,Brew Cafe,SKT001,Desserts,4.5,1,4.5,1.575
CUS1113,29/10/2023,Austin,Central Park,Suburban Sip Spot,COF001,Snacks,3,2,6,2.1
CUS1114,25/03/2021,Seattle,Pike Place,Perk Caf‚,SKT001,Specialty Drinks,4.5,1,4.5,1.575
CUS1115,26/11/2022,New York,Central Park,C P Coffee ,SPC001,Coffee Beverages,3,1,3,1.05
CUS1116,19/11/2021,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Tea Beverages,3.75,1,3.75,1.3125
CUS1117,24/04/2023,New York,Central Park,C P Coffee ,DES001,Coffee Beverages,2.5,1,2.5,0.875
CUS1118,02/01/2023,New York,Brooklyn,Beanery,DES001,Desserts,3,1,3,1.05
CUS1119,20/11/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Coffee Beverages,3,2,6,2.1
CUS1120,12/11/2022,New York,Central Park,TSQ Brew,SPC001,Desserts,2.5,2,5,1.75
CUS1121,21/10/2021,Chicago,Michigan Avenue,Magnificent Mile Cafe,COF001,Snacks,3,2,6,2.1
CUS1122,18/02/2022,Chicago,Madison Street,Park Roaste,SPC001,Specialty Drinks,3.75,1,3.75,1.3125
CUS1123,21/04/2021,Austin,Zilker Park,Lakeside Brew ,DES001,Cold Drinks,2.2,1,2.2,0.77
CUS1124,10/06/2023,Los Angeles,Venice Beach,Beach Cafe,COF001,Tea Beverages,3.75,2,7.5,2.625
CUS1125,14/07/2022,Chicago,Madison Street,Park Roaste,SPC001,Sandwiches ,3,1,3,1.05
CUS1126,28/10/2022,Austin,Central Park,Suburban Sip Spot,SND001,Desserts,3,2,6,2.1
CUS1127,14/01/2023,New York,Central Park,C P Coffee ,COF001,Snacks,3.75,2,7.5,2.625
CUS1128,25/03/2022,New York,Brooklyn,Beanery,DES001,Coffee Beverages,2.5,2,5,1.75
CUS1129,23/02/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Desserts,3.5,2,7,2.45
CUS1130,29/03/2022,Austin,Zilker Park,Lakeside Brew ,CLD001,Specialty Drinks,2.55,2,5.1,1.785
CUS1131,12/03/2023,Chicago,Michigan Avenue,Loop Latte Lounge,TEA001,Tea Beverages,3.1,2,6.2,2.17
CUS1132,26/08/2021,Chicago,Madison Street,Park Roaste,SKT001,Cold Drinks,4.5,1,4.5,1.575
CUS1133,13/12/2022,Austin,Central Park,Delight Caf‚,SND001,Sandwiches ,2.5,1,2.5,0.875
CUS1134,17/02/2023,Chicago,Madison Street,Park Brew,SPC001,Snacks,3,1,3,1.05
CUS1135,09/01/2023,New York,Brooklyn,Sip & Savor,SPC001,Tea Beverages,3,2,6,2.1
CUS1136,13/05/2023,New York,Central Park,TSQ Brew,DES001,Snacks,3.25,1,3.25,1.1375
CUS1137,04/09/2023,Seattle,Capitol Hill,Brew Cafe,DES001,Coffee Beverages,2.5,2,5,1.75
CUS1138,15/08/2021,Los Angeles,Venice Beach,Coffee House,CLD001,Desserts,3.5,1,3.5,1.225
CUS1139,23/04/2021,Los Angeles,Capitol Hill,Espresso,DES001,Coffee Beverages,3.75,1,3.75,1.3125
CUS1140,20/03/2023,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Cold Drinks,3.75,1,3.75,1.3125
CUS1141,18/11/2022,New York,Brooklyn,Beanery,SND001,Desserts,2.5,2,5,1.75
CUS1142,29/12/2022,Austin,Central Park,Suburban Sip Spot,COF001,Desserts,2.2,2,4.4,1.54
CUS1143,10/05/2021,Seattle,Pike Place,Perk Caf‚,SKT001,Specialty Drinks,3.75,1,3.75,1.3125
CUS1144,20/06/2023,Chicago,Michigan Avenue,Loop Latte Lounge,COF001,Sandwiches ,3,1,3,1.05
CUS1145,19/01/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,TEA001,Cold Drinks,2.5,2,5,1.75
CUS1146,07/01/2023,Chicago,Madison Street,Park Brew,DES001,Tea Beverages,2.5,1,2.5,0.875
CUS1147,06/10/2022,Chicago,Madison Street,Park Brew,CLD001,Snacks,3.25,1,3.25,1.1375
CUS1148,27/01/2022,Austin,Zilker Park,Lakeside Brew ,DES001,Tea Beverages,3,2,6,2.1
CUS1149,06/06/2022,Los Angeles,Venice Beach,Coffee House,TEA001,Snacks,3.75,2,7.5,2.625
CUS1150,05/10/2022,Austin,Central Park,Delight Caf‚,CLD001,Cold Drinks,3,2,6,2.1
CUS1151,02/03/2022,New York,Brooklyn,Beanery,SND001,Cold Drinks,3.5,2,7,2.45
CUS1152,12/08/2022,Chicago,Madison Street,Park Roaste,CLD001,Coffee Beverages,3.1,1,3.1,1.085
CUS1153,24/10/2022,Austin,Zilker Park,Lakeside Brew ,DES001,Sandwiches ,3,2,6,2.1
CUS1154,29/04/2021,New York,Central Park,TSQ Brew,TEA001,Specialty Drinks,2.5,1,2.5,0.875
CUS1155,14/06/2022,New York,Central Park,C P Coffee ,COF001,Desserts,3.75,1,3.75,1.3125
CUS1156,11/12/2022,Los Angeles,Capitol Hill,Espresso,TEA001,Desserts,3.75,2,7.5,2.625
CUS1157,16/08/2021,Seattle,Pike Place,Perk Caf‚,SPC001,Specialty Drinks,2.5,1,2.5,0.875
CUS1158,21/08/2023,Los Angeles,Venice Beach,Coffee House,CLD001,Snacks,3,2,6,2.1
CUS1159,30/07/2022,Seattle,Pike Place,Perk Caf‚,COF001,Tea Beverages,3.1,2,6.2,2.17
CUS1160,22/07/2023,New York,Central Park,C P Coffee ,CLD001,Cold Drinks,3.5,1,3.5,1.225
CUS1161,03/07/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Snacks,3.75,1,3.75,1.3125
CUS1162,21/02/2023,Los Angeles,Capitol Hill,Espresso,TEA001,Tea Beverages,3,1,3,1.05
CUS1163,02/10/2023,Austin,Central Park,Delight Caf‚,CLD001,Sandwiches ,2.5,1,2.5,0.875
CUS1164,14/01/2022,Los Angeles,Venice Beach,Coffee House,TEA001,Tea Beverages,3.5,2,7,2.45
CUS1165,30/01/2021,Los Angeles,Capitol Hill,Espresso,TEA001,Tea Beverages,2.5,2,5,1.75
CUS1166,16/09/2023,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Sandwiches ,2.5,1,2.5,0.875
CUS1167,24/02/2021,Chicago,Madison Street,Park Roaste,COF001,Sandwiches ,3,1,3,1.05
CUS1168,09/10/2023,Austin,Zilker Park,Lakeside Brew ,TEA001,Coffee Beverages,3,1,3,1.05
CUS1169,12/08/2021,Chicago,Michigan Avenue,Magnificent Mile Cafe,SKT001,Tea Beverages,3.1,1,3.1,1.085
CUS1170,28/12/2022,New York,Central Park,TSQ Brew,SND001,Coffee Beverages,2,2,4,1.4
CUS1171,27/03/2021,Los Angeles,Venice Beach,Beach Cafe,COF001,Sandwiches ,2.5,2,5,1.75
CUS1172,03/01/2022,Los Angeles,Venice Beach,Coffee House,TEA001,Snacks,3.75,2,7.5,2.625
CUS1173,10/05/2023,New York,Brooklyn,Beanery,SKT001,Snacks,3.1,2,6.2,2.17
CUS1174,17/09/2023,Chicago,Michigan Avenue,Magnificent Mile Cafe,DES001,Desserts,2.5,2,5,1.75
CUS1175,22/02/2022,Seattle,Pike Place,Perk Caf‚,COF001,Coffee Beverages,2.2,2,4.4,1.54
CUS1176,02/08/2021,Austin,Central Park,Suburban Sip Spot,TEA001,Cold Drinks,3,2,6,2.1
CUS1177,20/05/2023,Austin,Zilker Park,Lakeside Brew ,TEA001,Tea Beverages,3.75,2,7.5,2.625
CUS1178,12/07/2021,Seattle,Pike Place,Perk Caf‚,COF001,Tea Beverages,3,1,3,1.05
CUS1179,19/07/2022,Chicago,Madison Street,Park Brew,COF001,Sandwiches ,4.25,2,8.5,2.975
CUS1180,06/12/2022,Los Angeles,Hollywood Hills,Hills Cafe,SPC001,Snacks,2.5,2,5,1.75
CUS1181,17/03/2023,New York,Brooklyn,Beanery,SND001,Tea Beverages,3.75,1,3.75,1.3125
CUS1182,29/03/2021,Chicago,Madison Street,Park Brew,COF001,Snacks,2.5,2,5,1.75
CUS1183,13/11/2023,New York,Brooklyn,Beanery,SKT001,Coffee Beverages,2.5,2,5,1.75
CUS1184,12/12/2021,Los Angeles,Venice Beach,Coffee House,DES001,Coffee Beverages,2.2,2,4.4,1.54
CUS1185,23/10/2023,Seattle,Pike Place,Perk Caf‚,SKT001,Sandwiches ,3.75,1,3.75,1.3125
CUS1186,10/12/2023,Austin,Central Park,Delight Caf‚,TEA001,Sandwiches ,3,2,6,2.1
CUS1187,28/08/2022,Los Angeles,Hollywood Hills,Hills Cafe,TEA001,Cold Drinks,3,1,3,1.05
CUS1188,02/12/2023,Los Angeles,Capitol Hill,Espresso,TEA001,Coffee Beverages,3.75,1,3.75,1.3125
CUS1189,07/10/2023,Chicago,Madison Street,Park Brew,SPC001,Specialty Drinks,3,1,3,1.05
CUS1190,27/11/2023,Austin,Central Park,Suburban Sip Spot,CLD001,Coffee Beverages,2.5,1,2.5,0.875
CUS1191,22/03/2022,Los Angeles,Capitol Hill,Espresso,DES001,Cold Drinks,2,2,4,1.4
CUS1192,17/04/2022,New York,Central Park,C P Coffee ,DES001,Sandwiches ,2.55,1,2.55,0.8925
CUS1193,23/03/2021,Austin,Central Park,Delight Caf‚,CLD001,Coffee Beverages,2.5,1,2.5,0.875
CUS1194,25/01/2022,Austin,Central Park,Suburban Sip Spot,CLD001,Cold Drinks,3.5,1,3.5,1.225
CUS1195,09/09/2022,Seattle,Pike Place,Perk Caf‚,DES001,Snacks,3.5,1,3.5,1.225
CUS1196,15/05/2023,Chicago,Michigan Avenue,Loop Latte Lounge,SKT001,Cold Drinks,3.75,2,7.5,2.625
CUS1197,30/05/2023,Los Angeles,Venice Beach,Beach Cafe,SND001,Tea Beverages,3,1,3,1.05
CUS1198,04/08/2021,Austin,Zilker Park,Lakeside Brew ,SND001,Sandwiches ,4.5,1,4.5,1.575
CUS1199,29/08/2022,Austin,Zilker Park,Lakeside Brew ,CLD001,Desserts,3,2,6,2.1
CUS1200,04/09/2021,New York,Brooklyn,Sip & Savor,SKT001,Cold Drinks,3,1,3,1.05
CUS1201,19/04/2022,Los Angeles,Hollywood Hills,Hills Cafe,SND001,Coffee Beverages,4.75,1,4.75,1.6625
CUS1202,30/07/2021,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Desserts,3.25,1,3.25,1.1375
CUS1203,28/05/2022,Los Angeles,Venice Beach,Coffee House,SND001,Sandwiches ,2.55,1,2.55,0.8925
CUS1204,15/04/2021,New York,Brooklyn,Sip & Savor,SPC001,Sandwiches ,3.5,1,3.5,1.225
CUS1205,10/10/2021,New York,Brooklyn,Sip & Savor,DES001,Cold Drinks,2.5,2,5,1.75
CUS1206,20/07/2023,Los Angeles,Capitol Hill,Espresso,SPC001,Cold Drinks,3,1,3,1.05
CUS1207,24/01/2022,Austin,Zilker Park,Lakeside Brew ,SKT001,Snacks,3,1,3,1.05
CUS1208,28/11/2022,Seattle,Pike Place,Perk Caf‚,SND001,Desserts,3.1,1,3.1,1.085
CUS1209,05/03/2022,Chicago,Michigan Avenue,Loop Latte Lounge,COF001,Tea Beverages,3.5,1,3.5,1.225
CUS1210,29/06/2022,New York,Central Park,C P Coffee ,SND001,Specialty Drinks,3,1,3,1.05
CUS1211,12/01/2021,Chicago,Madison Street,Park Roaste,CLD001,Desserts,3,2,6,2.1
CUS1212,12/04/2023,Los Angeles,Hollywood Hills,Hills Cafe,COF001,Sandwiches ,4.75,1,4.75,1.6625
CUS1213,30/09/2023,Chicago,Madison Street,Park Roaste,DES001,Specialty Drinks,3,1,3,1.05
CUS1214,16/09/2023,Los Angeles,Venice Beach,Coffee House,TEA001,Cold Drinks,2.5,2,5,1.75
CUS1215,14/09/2022,Chicago,Madison Street,Park Brew,TEA001,Snacks,3.75,1,3.75,1.3125
CUS1216,12/01/2022,Austin,Central Park,Suburban Sip Spot,SKT001,Coffee Beverages,3,2,6,2.1
CUS1217,17/01/2023,New York,Brooklyn,Beanery,SKT001,Desserts,2.2,2,4.4,1.54
CUS1218,12/04/2021,Seattle,Pike Place,Perk Caf‚,COF001,Specialty Drinks,3,1,3,1.05
CUS1219,24/02/2022,New York,Central Park,C P Coffee ,CLD001,Cold Drinks,4.5,1,4.5,1.575
CUS1220,13/09/2021,New York,Brooklyn,Beanery,DES001,Coffee Beverages,3,1,3,1.05
CUS1221,04/01/2021,Los Angeles,Venice Beach,Beach Cafe,SPC001,Desserts,3,2,6,2.1
CUS1222,07/12/2021,Chicago,Madison Street,Park Brew,DES001,Specialty Drinks,2.2,2,4.4,1.54
CUS1223,31/10/2023,Austin,Central Park,Suburban Sip Spot,SND001,Specialty Drinks,3.25,1,3.25,1.1375
CUS1224,15/10/2021,Los Angeles,Hollywood Hills,Hills Cafe,SPC001,Snacks,2.5,2,5,1.75
CUS1225,02/11/2023,Austin,Central Park,Suburban Sip Spot,COF001,Coffee Beverages,2.5,2,5,1.75
CUS1226,23/02/2023,New York,Brooklyn,Beanery,COF001,Coffee Beverages,2,1,2,0.7
CUS1227,25/08/2023,New York,Brooklyn,Sip & Savor,CLD001,Sandwiches ,3.5,1,3.5,1.225
CUS1228,15/06/2022,New York,Central Park,C P Coffee ,COF001,Specialty Drinks,3,2,6,2.1
CUS1229,18/07/2021,Los Angeles,Hollywood Hills,Hills Cafe,DES001,Desserts,3.1,1,3.1,1.085
CUS1230,21/06/2021,Los Angeles,Venice Beach,Beach Cafe,DES001,Specialty Drinks,3,2,6,2.1
CUS1231,30/06/2022,Los Angeles,Hollywood Hills,Hills Cafe,SKT001,Tea Beverages,3.75,1,3.75,1.3125
CUS1232,12/12/2022,Seattle,Capitol Hill,Brew Cafe,COF001,Tea Beverages,2.55,1,2.55,0.8925
CUS1233,16/06/2022,Los Angeles,Venice Beach,Beach Cafe,SPC001,Specialty Drinks,4,2,8,2.8
CUS1234,29/07/2021,Seattle,Pike Place,Perk Caf‚,SKT001,Specialty Drinks,3,2,6,2.1
CUS1235,02/07/2021,Los Angeles,Hollywood Hills,Hills Cafe,COF001,Cold Drinks,4,1,4,1.4
CUS1236,10/10/2022,New York,Central Park,C P Coffee ,CLD001,Specialty Drinks,3.5,1,3.5,1.225
CUS1237,25/04/2022,New York,Brooklyn,Sip & Savor,TEA001,Tea Beverages,2.5,1,2.5,0.875
CUS1238,27/02/2022,Chicago,Madison Street,Park Brew,COF001,Tea Beverages,2.2,2,4.4,1.54
CUS1239,29/03/2023,New York,Central Park,TSQ Brew,COF001,Sandwiches ,3.1,2,6.2,2.17
CUS1240,15/01/2022,Chicago,Michigan Avenue,Loop Latte Lounge,SND001,Specialty Drinks,3.75,2,7.5,2.625
CUS1241,07/02/2021,New York,Brooklyn,Beanery,TEA001,Coffee Beverages,2.5,1,2.5,0.875
CUS1242,05/06/2022,Chicago,Michigan Avenue,Magnificent Mile Cafe,SND001,Specialty Drinks,2.5,2,5,1.75
